,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,,,,,,,,,
 Grand Total ,,,"196,936","193,454","23,995","710,425",734,959,205,"3,264","197,670","194,413","24,200","713,689"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Field Office by State6,, Field Office Code ,,,,,,,,,,,,
,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,
, Port-au-Prince ,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
, New Delhi ,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
, Rome ,, N/A , N/A , N/A , N/A ,10,17, D , D , D ,17, D , D 
,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
, Amman ,, N/A , N/A , N/A , N/A , D , -   , -   , -   , D , -   , -   , -   
,,,,,,,,,,,,,,
Kenya,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
, Nairobi ,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
, Ciudad Juarez ,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,,,,
, Mexico City ,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,,,,
, Monterrey ,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
, Lima ,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,,,,
Philippines,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
, Manila ,, N/A , N/A , N/A , N/A , -   , D , -   , -   , -   , D , -   , -   
,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
, Moscow ,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   
