,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,,,,,,,,,
 Total ,,,"178,029","165,675","19,959","723,651","1,069",755,191,"5,749","179,098","166,430","20,150","729,400"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 Field Office by State6 ,, Field Office Code ,,,,,,,,,,,,
,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
, Montgomery , MGA ,779,343,16,"4,457",18, D ,25,270,797,344,41,"4,727"
,,,,,,,,,,,,,,
 Alaska ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Anchorage  , ANC ,269,264,49,767, D , -   , -   ,43,278,264,49,810
,,,,,,,,,,,,,,
 Arizona ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Phoenix  , PHO ,"2,415","2,328",281,"12,620",10,12, D ,42,"2,425","2,340",283,"12,662"
,,,,,,,,,,,,,,
, Tucson , TUC ,602,739,83,"1,768", D , D , D ,15,604,741,84,"1,783"
,,,,,,,,,,,,,,
 Arkansas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Fort Smith  , FSA ,311,414,18,"1,058", D , -   , -   , D ,315,414,18,"1,062"
,,,,,,,,,,,,,,
 California ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Chula Vista , CVC , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,,,,
, Fresno  , FRE ,"2,240","2,906",268,"7,796", D , D , -   ,20,"2,248","2,913",268,"7,816"
,,,,,,,,,,,,,,
, Imperial , IMP ,318,344,107,890, D , -   , -   , D ,319,344,107,891
,,,,,,,,,,,,,,
, Los Angeles  , LOS ,"4,285","4,617",285,"15,407",21,18, D ,65,"4,306","4,635",286,"15,472"
,,,,,,,,,,,,,,
, Los Angeles County  , LAC ,"4,210","4,691",554,"18,064",26, D , D ,64,"4,236","4,696",557,"18,128"
,,,,,,,,,,,,,,
, Sacramento  , SAC ,"2,731","4,017",235,"10,579",14, D , -   ,61,"2,745","4,022",235,"10,640"
,,,,,,,,,,,,,,
, San Bernardino , SBD ,"3,840","5,281",756,"8,760",18,15, D ,77,"3,858","5,296",758,"8,837"
,,,,,,,,,,,,,,
, San Diego  , SND ,"3,559","3,075",396,"11,247",29,41, D ,62,"3,588","3,116",401,"11,309"
,,,,,,,,,,,,,,
, San Fernando Valley , SFV ,"3,266","3,888",232,"13,065", D , D , D ,36,"3,275","3,897",234,"13,101"
,,,,,,,,,,,,,,
, San Francisco , SFR ,"6,347","5,282",365,"26,433",21, D , D ,82,"6,368","5,291",366,"26,515"
,,,,,,,,,,,,,,
, San Jose  , SNJ ,"3,319","2,798",322,"11,043", D , D , D ,41,"3,328","2,804",323,"11,084"
,,,,,,,,,,,,,,
, Santa Ana , SAA ,"3,680","3,683",398,"13,698",14,16, D ,47,"3,694","3,699",399,"13,745"
,,,,,,,,,,,,,,
 Colorado ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Denver  , DEN ,"2,051","1,363",269,"9,866",10, D , D ,110,"2,061","1,372",271,"9,976"
,,,,,,,,,,,,,,
 Connecticut ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Hartford  , HAR ,"2,053","2,838",329,"7,645",12,20, D ,37,"2,065","2,858",333,"7,682"
,,,,,,,,,,,,,,
 Delaware ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Dover AFB , DVD , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,,,,
 District of Columbia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Washington  , WAS ,"3,980","3,111",354,"15,269",16, -   , -   ,82,"3,996","3,111",354,"15,351"
,,,,,,,,,,,,,,
 Florida ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Fort Meyers , OFM ,893,434,128,"5,806", D , D , D , D ,901,435,129,"5,810"
,,,,,,,,,,,,,,
, Hialeah , HIA ,"2,588","3,946",675,"8,993", D , -   , D ,13,"2,591","3,946",677,"9,006"
,,,,,,,,,,,,,,
, Jacksonville , JAC ,993,"1,197",116,"3,393", D , D , -   ,44,"1,001","1,201",116,"3,437"
,,,,,,,,,,,,,,
, Kendall , KND ,"2,668","2,698",366,"11,939", D , D , D ,18,"2,673","2,703",367,"11,957"
,,,,,,,,,,,,,,
, Miami  , MIA ,"2,707","2,599",379,"16,671", D , -   , D ,13,"2,716","2,599",380,"16,684"
,,,,,,,,,,,,,,
, Oakland Park , OKL ,"2,348","2,659",399,"13,555",15, D , -   ,41,"2,363","2,667",399,"13,596"
,,,,,,,,,,,,,,
, Orlando  , ORL ,"2,222","1,976",361,"11,132", D , D , -   ,32,"2,230","1,979",361,"11,164"
,,,,,,,,,,,,,,
, Tampa  , TAM ,"2,339","3,316",484,"8,714",11,14, D ,24,"2,350","3,330",485,"8,738"
,,,,,,,,,,,,,,
, West Palm Beach , WPB ,"1,723","2,213",363,"7,304", D ,14, D ,26,"1,729","2,227",364,"7,330"
,,,,,,,,,,,,,,
 Georgia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Atlanta  , ATL ,"4,284","3,703",336,"19,702",28,29,12,117,"4,312","3,732",348,"19,819"
,,,,,,,,,,,,,,
 Hawaii ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Honolulu  , HHW ,839,763,101,"2,724",31, D , D ,65,870,771,103,"2,789"
,,,,,,,,,,,,,,
 Idaho ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Boise  , BOI ,378,450,26,901, D , -   , -   ,10,379,450,26,911
,,,,,,,,,,,,,,
 Illinois ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Chicago  , CHI ,"6,044","4,342",374,"25,851",100,13, D ,221,"6,144","4,355",375,"26,072"
,,,,,,,,,,,,,,
