,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Total,,,"286,692","165,907","17,514","740,119","3,069","1,231",130,"3,910","289,988","167,309","17,712","744,106"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Field Office by State6,,Field Office Code,,,,,,,,,,,,
,,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Anchorage ,ANC,366,193,36,915,D,D,D,20,374,198,37,935
,,,,,,,,,,,,,,
Arizona,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Phoenix ,PHO,"4,437","2,070",340,"11,051",D,D,D,30,"4,446","2,074",341,"11,081"
,,,,,,,,,,,,,,
,Tucson,TUC,"1,039",616,90,"2,427",D,11,D,19,"1,040",627,91,"2,446"
,,,,,,,,,,,,,,
Arkansas,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Fort Smith ,FSA,470,371,20,"1,169",D,0,0,D,471,371,20,"1,172"
,,,,,,,,,,,,,,
California,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Chula Vista,CVC,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
,Fresno ,FRE,"3,827","2,318",253,"8,716",D,D,D,20,"3,834","2,320",254,"8,736"
,,,,,,,,,,,,,,
,Imperial,IMP,491,474,98,"1,203",0,0,0,0,491,474,98,"1,203"
,,,,,,,,,,,,,,
,Los Angeles ,LOS,"6,138","4,364",175,"14,489",D,D,0,31,"6,147","4,371",175,"14,520"
,,,,,,,,,,,,,,
,Los Angeles County ,LAC,"8,096","4,439",594,"19,320",15,D,D,36,"8,111","4,448",596,"19,356"
,,,,,,,,,,,,,,
,Sacramento ,SAC,"4,666","2,157",198,"11,326",D,14,0,14,"4,674","2,171",198,"11,340"
,,,,,,,,,,,,,,
,San Bernardino,SBD,"6,836","4,271",525,"14,381",18,21,D,37,"6,854","4,292",529,"14,418"
,,,,,,,,,,,,,,
,San Diego ,SND,"5,921","3,250",303,"14,014",114,104,16,84,"6,035","3,354",319,"14,098"
,,,,,,,,,,,,,,
,San Fernando Valley,SFV,"5,868","3,278",238,"13,660",12,D,0,34,"5,880","3,283",238,"13,694"
,,,,,,,,,,,,,,
,San Francisco,SFR,"10,774","6,629",330,"24,050",19,D,0,44,"10,793","6,635",330,"24,094"
,,,,,,,,,,,,,,
,San Jose ,SNJ,"6,054","4,419",253,"14,009",D,12,D,11,"6,060","4,431",254,"14,020"
,,,,,,,,,,,,,,
,Santa Ana,SAA,"5,687","2,843",568,"14,236",14,D,D,31,"5,701","2,848",569,"14,267"
,,,,,,,,,,,,,,
Colorado,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Denver ,DEN,"3,374","1,123",222,"9,193",16,13,0,48,"3,390","1,136",222,"9,241"
,,,,,,,,,,,,,,
Connecticut,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Hartford ,HAR,"3,465","1,337",168,"9,559",12,D,0,32,"3,477","1,343",168,"9,591"
