,,,,,,,,,,,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,,Applications by Category and Case Status,,,,,,,,,,,,,,,,,,,,,
,,,Naturalization1,,,,Naturalization (Military)1,,,,Total,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Total,,," 251,150 "," 202,590 "," 21,768 "," 779,117 "," 3,212 "," 2,201 ", 251 ," 5,399 "," 254,362 "," 204,791 "," 22,019 "," 784,516 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,Field Office Code,,,,,,,,,,,,,,,,,,,,,,
Alabama,,,,,,,,,,,,,,,,,,,,,,,,
,Montgomery,MGA,636,D,0,"3,169",11,D,0,53,647,D,0,"3,222",,,,,,,,,,
Alaska,,, , , , , , , , , , , , ,,,,,,,,,,
,Anchorage ,ANC,354,187,57,984,10,D,0,26,364,193,57,"1,010",,,,,,,,,,
Arizona,,, , , , , , , , , , , , ,,,,,,,,,,
,Phoenix ,PHO,"3,974","2,580",305,"12,241",13,0,0,34,"3,987","2,580",305,"12,275",,,,,,,,,,
,Tucson,TUC,"1,001",976,104,"2,368",D,13,D,12,"1,006",989,105,"2,380",,,,,,,,,,
Arkansas,,, , , , , , , , , , , , ,,,,,,,,,,
,Fort Smith ,FSA,383,321,16,"1,219",D,D,0,D,386,322,16,"1,224",,,,,,,,,,
California,,, , , , , , , , , , , , ,,,,,,,,,,
,Chula Vista,CVC,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
,Fresno ,FRE,"3,792","3,151",284,"9,115",D,10,0,17,"3,800","3,161",284,"9,132",,,,,,,,,,
,Imperial,IMP,561,429,104,"1,228",D,0,0,D,562,429,104,"1,229",,,,,,,,,,
,Los Angeles ,LOS,"6,226","4,946",403,"16,748",17,D,0,23,"6,243","4,955",403,"16,771",,,,,,,,,,
,Los Angeles County ,LAC,"6,873","4,255",870,"19,377",21,15,D,48,"6,894","4,270",872,"19,425",,,,,,,,,,
,Sacramento ,SAC,"4,385","3,354",272,"12,149",27,D,D,24,"4,412","3,360",275,"12,173",,,,,,,,,,
,San Bernardino,SBD,"5,831","6,258",894,"13,477",29,27,D,57,"5,860","6,285",899,"13,534",,,,,,,,,,
,San Diego ,SND,"5,190","5,058",614,"12,997",92,104,11,140,"5,282","5,162",625,"13,137",,,,,,,,,,
,San Fernando Valley,SFV,"5,149","3,799",303,"14,769",15,D,D,46,"5,164","3,807",304,"14,815",,,,,,,,,,
,San Francisco,SFR,"8,330","5,884",322,"26,711",29,D,D,55,"8,359","5,891",323,"26,766",,,,,,,,,,
,San Jose ,SNJ,"4,574","4,272",318,"13,770",13,D,0,18,"4,587","4,278",318,"13,788",,,,,,,,,,
,Santa Ana,SAA,"5,421","4,497",532,"14,754",18,D,0,40,"5,439","4,504",532,"14,794",,,,,,,,,,
Colorado,,, , , , , , , , , , , , ,,,,,,,,,,
,Denver ,DEN,"2,687","1,959",409,"9,496",28,11,D,72,"2,715","1,970",411,"9,568",,,,,,,,,,
Connecticut,,, , , , , , , , , , , , ,,,,,,,,,,
,Hartford ,HAR,"2,663","2,618",164,"9,507",13,12,D,35,"2,676","2,630",165,"9,542",,,,,,,,,,
Delaware,,, , , , , , , , , , , , ,,,,,,,,,,
,Dover AFB,DVD,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
